ID,Schoenmaat,Leeftijd,Sexe
3104,46,19,m
3105,47,18,m
3106,43,22,m
3107,44.5,21,m
3108,43,17,m
3109,47,20,m
3110,42,18,m
3111,43,19,m
3112,43,20,m
3113,42,20,m
3114,44,19,m
3115,46,19,m
3116,40,18,m
3117,43,19,m
3118,42,19,m
3119,44,19,m
3120,45,19,m
3121,43,20,m
3122,42,20,m
3123,47,19,m
3124,39,19,v
3125,39,20,v
3126,40,21,v
3127,39,20,v
3128,40,20,v
3129,40,19,v
3130,39,22,v
3131,38,21,v
3132,38,19,v
3133,38,20,v
3134,41,23,v
3135,39,22,v
3136,41,22,v
3137,39,19,v
3138,38,20,v
3139,37,18,v
3140,36,17,v
3141,37,22,v
3142,39,21,v
3143,40,19,v
